UserId,Condition,Scenario,Direction,TimeStamp,Resistance,DtInMs,ConWPosX,ConWPosY,ConWPosZ,ConPosX,ConPosY,ConPosZ,ConRotX,ConRotY,ConRotZ,IsHit,DotId,HitPosX,HitPosY,HitPosZ,HeadPosX,HeadPosY,HeadPosZ,HeadRotX,HeadRotY,HeadRotZ,EyeOriginX,EyeOriginY,EyeOriginZ,EyeDirectionX,EyeDirectionY,EyeDirectionZ,EyeHitPosX,EyeHitPosY,label
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:36.85,50659.33,4.54,1.604125,0.872195,-1.074141,-0.5961847,0.872195,-0.2659118,270.7502,299.0453,190.3064,TRUE,39,1.604513,1.002854,-1.074349,1.876444,1.095827,-1.019395,4.357394,263.8346,357.758,1.920921,1.101937,-1.04264,-0.9348363,-0.2524182,-0.2496959,0.4603986,0.3273727,1
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:37.82,45835.21,5.51,1.590304,0.8721364,-1.089068,-0.6101537,0.8721364,-0.2807004,270.8398,301.7224,187.6624,TRUE,38,1.590564,1.002428,-1.0891,1.874497,1.095763,-1.025196,4.63096,262.4445,358.4029,1.919012,1.101774,-1.047205,-0.9185799,-0.2554112,-0.3015935,0.4411178,0.313277,1
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:38.75,44109.68,6.44,1.584405,0.8718323,-1.111036,-0.6162704,0.8718323,-0.3026086,270.7214,290.6849,201.0877,TRUE,37,1.585544,1.003202,-1.111225,1.874814,1.097016,-1.038492,4.242528,259.3336,359.6299,1.916091,1.102149,-1.041883,-0.9286345,-0.2515795,-0.2726493,0.4531232,0.3341498,1
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:39.45,43865.52,7.14,1.57531,0.8719065,-1.133872,-0.625592,0.8719065,-0.3253534,270.6787,281.1284,213.0834,TRUE,36,1.576389,1.002198,-1.134096,1.875979,1.098552,-1.038872,3.231622,258.2769,359.0925,1.922759,1.103372,-1.057017,-0.9064062,-0.2441362,-0.3447008,0.4122309,0.3341244,1
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:40.19,41238.72,7.88,1.560301,0.8718094,-1.152343,-0.640784,0.8718094,-0.3436739,270.6507,281.2031,214.0514,TRUE,35,1.56141,1.001811,-1.152714,1.871019,1.097476,-1.043294,3.888012,257.9964,358.609,1.913825,1.102839,-1.046588,-0.9052961,-0.2398583,-0.3505625,0.417462,0.3541893,1
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:40.85,38131.73,8.54,1.541225,0.8718511,-1.16567,-0.659992,0.8718511,-0.356811,270.6746,278.4482,216.8314,TRUE,34,1.542176,1.002428,-1.165994,1.868164,1.097211,-1.04908,3.994429,256.8537,358.6104,1.908807,1.102615,-1.048543,-0.9068236,-0.2288053,-0.3539741,0.4090795,0.3892782,1
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:41.53,35224.48,9.21,1.520585,0.8716218,-1.178235,-0.6807551,0.8716218,-0.36917,270.7067,278.0598,217.3788,TRUE,33,1.522456,1.001048,-1.179308,1.863997,1.096769,-1.053925,4.214668,255.6631,358.7288,1.905846,1.10226,-1.054796,-0.9160383,-0.2009236,-0.3470901,0.3895524,0.4817445,1
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:42.41,32231.2,10.1,1.495533,0.8714479,-1.184653,-0.7058702,0.8714479,-0.3753387,270.6723,282.685,211.7724,TRUE,32,1.496586,1.002547,-1.185404,1.85687,1.096312,-1.057148,4.477562,255.5406,357.2755,1.898773,1.102406,-1.059956,-0.9210371,-0.1906535,-0.3395929,0.3806364,0.5347983,1
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:42.99,30764.62,10.68,1.475675,0.8711619,-1.191505,-0.7257956,0.8711619,-0.3819934,270.7512,284.8802,209.4238,TRUE,31,1.476512,1.00269,-1.191975,1.850083,1.095684,-1.062288,4.971907,255.3556,356.2911,1.891236,1.102428,-1.062118,-0.9287519,-0.1858428,-0.3207116,0.3833528,0.5717807,1
1,VRKinArm,Circle,CounterClockWise,2022-12-20_10:58:43.66,29040.01,11.35,1.455319,0.8709336,-1.198018,-0.7462152,0.8709336,-0.388303,270.7022,282.5283,211.8223,TRUE,30,1.456111,1.002274,-1.19835,1.84343,1.095006,-1.070103,5.715054,255.1931,355.5606,1.886197,1.102616,-1.071004,-0.9325467,-0.1784881,-0.3138132,0.3730109,0.6154453,4
